Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400587827,2014-12-06,Georgia Tech,,"(6-2, 3-1 home)",USC Upstate,,"(8-2, 2-1 away)"
400587826,2014-12-06,VCU,,"(5-3, 2-1 home)",UVA,(7),"(9-0, 3-0 away)"
400587831,2014-12-06,Miami (FL),(15),"(8-1, 3-1 home)",Green Bay,,"(6-2, 1-2 away)"
400586715,2014-12-06,FSU,,"(4-4, 4-2 home)",UCF,,"(5-2, 0-1 away)"
400587828,2014-12-06,Syracuse,,"(5-3, 4-1 home)",St John's,,"(6-1, 1-0 away)"
400587830,2014-12-06,NC State,,"(7-1, 1-0 ACC)",Wake Forest,,"(4-5, 0-1 ACC)"
400587829,2014-12-06,Notre Dame,,"(8-1, 7-0 home)",Fair Dickinson,,"(3-4, 1-3 away)"
400586717,2014-12-07,UNC,(12),"(6-2, 3-1 home)",ECU,,"(4-5, 0-2 away)"
400587833,2014-12-07,VT,,"(4-4, 3-2 home)",Radford,,"(5-3, 1-3 away)"
400587832,2014-12-07,Clemson,,"(5-3, 3-2 home)",Arkansas,(18),"(6-2, 1-2 away)"
400587834,2014-12-08,Miami (FL),(20),"(9-1, 4-1 home)",Savannah State,,"(3-7, 0-7 away)"
400587835,2014-12-09,Notre Dame,(25),"(9-1, 8-0 home)",Mt St Mary's,,"(2-5, 2-4 away)"
400587836,2014-12-09,Louisville,(4),"(8-0, 6-0 home)",Indiana,,"(7-2, 0-0 away)"
400587837,2014-12-11,Boston College,,"(5-3, 4-0 home)",Maine,,"(1-8, 0-6 away)"
400587838,2014-12-12,NC State,,"(8-1, 1-0 ACC)",Charleston So,,"(5-3, 1-2 away)"
400587839,2014-12-13,Kentucky,(1),"(11-0, 10-0 home)",UNC,(21),"(6-3, 0-1 away)"
400587840,2014-12-13,Pitt,,"(6-3, 3-0 home)",St Bonaventure,,"(6-2, 1-1 away)"
400587841,2014-12-13,Notre Dame,(25),"(10-1, 1-0 ACC)",FSU,,"(4-5, 0-1 ACC)"
400587845,2014-12-14,Boston College,,"(6-3, 5-0 home)",Binghamton,,"(1-11, 0-6 away)"
400587848,2014-12-14,VT,,"(5-4, 4-2 home)",Alabama A&M;,,"(1-6, 0-5 away)"
400587842,2014-12-14,Syracuse,,"(6-3, 5-1 home)",LA Tech,,"(7-3, 2-3 away)"
400587846,2014-12-14,Clemson,,"(6-3, 4-2 home)",Auburn,,"(3-5, 0-3 away)"
400587847,2014-12-14,NC State,,"(8-2, 1-0 ACC)",Wofford,,"(8-2, 2-2 away)"
400587843,2014-12-14,Louisville,(4),"(9-0, 7-0 home)",UNC-Wilmington,,"(3-3, 2-3 away)"
400587844,2014-12-14,Wake Forest,,"(5-5, 0-1 ACC)",Samford,,"(3-8, 0-2 Southern)"
400587849,2014-12-15,Duke,(2),"(9-0, 5-0 home)",Elon,,"(5-5, 1-3 away)"
400587850,2014-12-15,Georgia Tech,,"(7-2, 4-1 home)",Appalachian St,,"(3-4, 2-3 away)"
400587851,2014-12-16,UNC Greensboro,,"(4-7, 1-0 Southern)",UNC,(24),"(7-3, 1-1 away)"
400586186,2014-12-17,Pitt,,"(7-3, 4-0 home)",Manhattan,,"(2-7, 1-1 MAAC)"
400587852,2014-12-17,NC State,,"(9-2, 1-0 ACC)",Tennessee,,"(4-4, 0-1 away)"
400587853,2014-12-17,FSU,,"(5-5, 0-1 ACC)",North Florida,,"(6-5, 2-4 away)"
400587854,2014-12-18,UVA,(6),"(10-0, 5-0 home)",Cleveland State,,"(5-6, 1-5 away)"
400586736,2014-12-18,Duke,(2),"(10-0, 5-0 home)",UConn,,"(4-4, 0-0 away)"
400587856,2014-12-19,Miami (FL),(18),"(9-2, 4-2 home)",E Kentucky,,"(6-4, 3-2 away)"
400587855,2014-12-19,South Carolina,,"(6-3, 4-1 home)",Clemson,,"(6-4, 0-1 away)"
400587861,2014-12-20,W Kentucky,,"(5-5, 3-2 home)",Louisville,(4),"(10-0, 1-0 away)"
400587863,2014-12-20,Villanova,(7),"(11-0, 6-0 home)",Syracuse,,"(6-4, 0-2 away)"
400587857,2014-12-20,UNC,(24),"(8-3, 3-1 home)",OSU,(12),"(9-2, 0-1 away)"
400587864,2014-12-20,VT,,"(6-4, 5-2 home)",The Citadel,,"(4-6, 0-1 Southern)"
400586742,2014-12-20,FSU,,"(6-5, 0-1 ACC)",USF,,"(5-6, 1-3 away)"
400587860,2014-12-20,Georgia Tech,,"(8-2, 5-1 home)",Vanderbilt,,"(7-3, 0-1 away)"
400587862,2014-12-20,Pitt,,"(8-3, 5-0 home)",Oakland,,"(4-8, 1-5 away)"
400587858,2014-12-20,Florida,,"(7-4, 5-1 home)",Wake Forest,,"(5-6, 0-1 ACC)"
400587859,2014-12-20,Notre Dame,(21),"(11-1, 1-0 ACC)",Purdue,,"(8-4, 0-1 away)"
400585755,2014-12-20,West Virginia,(22),"(10-1, 3-1 home)",NC State,,"(9-3, 1-0 ACC)"
400587865,2014-12-21,UVA,(6),"(11-0, 6-0 home)",Harvard,,"(7-2, 1-1 away)"
400587866,2014-12-21,Boston College,,"(6-4, 5-1 home)",USC,,"(7-4, 2-0 away)"
400587868,2014-12-22,FSU,,"(7-5, 0-1 ACC)",Stetson,,"(3-10, 0-7 away)"
400587467,2014-12-22,Notre Dame,(16),"(12-1, 1-0 ACC)",N Illinois,,"(4-5, 0-5 away)"
400587110,2014-12-22,Wake Forest,,"(6-6, 0-1 ACC)",Bucknell,,"(5-7, 1-5 away)"
400587111,2014-12-22,Syracuse,,"(7-4, 6-1 home)",Colgate,,"(3-9, 1-7 away)"
400587867,2014-12-22,Clemson,,"(7-4, 5-2 home)",Oakland,,"(4-9, 1-6 away)"
400587870,2014-12-22,VT,,"(7-4, 6-2 home)",VMI,,"(5-7, 1-1 Southern)"
400587869,2014-12-22,Providence,,"(10-3, 7-1 home)",Miami (FL),,"(9-3, 2-0 away)"
400587872,2014-12-23,Louisville,(4),"(11-0, 8-0 home)",CS Northridge,,"(3-10, 0-7 away)"
400587114,2014-12-23,Pitt,,"(9-3, 6-0 home)",Holy Cross,,"(5-5, 1-4 away)"
400587873,2014-12-23,NC State,,"(10-3, 1-0 ACC)",LA Tech,,"(8-4, 2-4 away)"
400587871,2014-12-23,Dayton,,"(9-2, 6-0 home)",Georgia Tech,,"(8-3, 1-1 away)"
400587874,2014-12-27,Louisville,(4),"(11-1, 8-1 home)",Kentucky,(1),"(13-0, 1-0 away)"
400587875,2014-12-27,UNC,(20),"(9-3, 4-1 home)",UAB,,"(4-9, 0-2 away)"
400587876,2014-12-27,VT,,"(8-4, 7-2 home)",Presbyterian,,"(4-9, 0-5 away)"
400587877,2014-12-28,Syracuse,,"(8-4, 7-1 home)",LBSU,,"(5-9, 0-8 away)"
400587878,2014-12-28,Richmond,,"(7-5, 6-1 home)",Wake Forest,,"(7-6, 0-1 ACC)"
400587879,2014-12-29,Boston College,,"(7-4, 6-1 home)",UMass Lowell,,"(6-6, 4-5 away)"
400587472,2014-12-29,Duke,(2),"(11-0, 6-0 home)",Toledo,,"(7-5, 2-4 away)"
400585770,2014-12-30,West Virginia,(17),"(12-1, 5-1 home)",VT,,"(8-5, 0-2 away)"
400587885,2014-12-30,Louisville,(5),"(12-1, 9-1 home)",LBSU,,"(5-10, 0-9 away)"
400586759,2014-12-30,NC State,,"(10-4, 1-0 ACC)",Cincinnati,,"(9-3, 1-1 away)"
400587880,2014-12-30,UVA,(3),"(12-0, 7-0 home)",Davidson,,"(9-2, 3-1 away)"
400587887,2014-12-30,UNC,(19),"(10-3, 5-1 home)",William & Mary,,"(6-5, 1-5 away)"
400587881,2014-12-30,Clemson,,"(8-4, 6-2 home)",Robert Morris,,"(4-8, 1-5 away)"
